Community,Category,Crime Count,Year,Month,Month Name
abbeydale,Assault (Non-domestic),1,2021,4,April
abbeydale,Assault (Non-domestic),5,2021,5,May
abbeydale,Assault (Non-domestic),2,2021,7,July
abbeydale,Assault (Non-domestic),1,2021,9,September
abbeydale,Assault (Non-domestic),1,2021,10,October
abbeydale,Assault (Non-domestic),2,2021,12,December
abbeydale,Assault (Non-domestic),2,2022,3,March
abbeydale,Assault (Non-domestic),1,2022,4,April
abbeydale,Assault (Non-domestic),4,2022,5,May
abbeydale,Assault (Non-domestic),3,2022,6,June
abbeydale,Assault (Non-domestic),1,2022,7,July
abbeydale,Assault (Non-domestic),1,2022,9,September
abbeydale,Assault (Non-domestic),6,2022,10,October
abbeydale,Assault (Non-domestic),3,2022,11,November
abbeydale,Assault (Non-domestic),1,2022,12,December
abbeydale,Assault (Non-domestic),1,2023,1,January
abbeydale,Assault (Non-domestic),1,2023,2,February
abbeydale,Assault (Non-domestic),1,2023,3,March
abbeydale,Assault (Non-domestic),3,2023,4,April
abbeydale,Assault (Non-domestic),2,2023,5,May
abbeydale,Assault (Non-domestic),1,2023,6,June
abbeydale,Assault (Non-domestic),2,2023,7,July
abbeydale,Assault (Non-domestic),1,2023,8,August
abbeydale,Assault (Non-domestic),1,2023,9,September
abbeydale,Assault (Non-domestic),1,2023,10,October
abbeydale,Assault (Non-domestic),1,2023,11,November
abbeydale,Assault (Non-domestic),1,2023,12,December
abbeydale,Assault (Non-domestic),1,2024,1,January
abbeydale,Assault (Non-domestic),2,2024,2,February
abbeydale,Assault (Non-domestic),1,2024,3,March
abbeydale,Assault (Non-domestic),1,2024,4,April
abbeydale,Assault (Non-domestic),3,2024,5,May
abbeydale,Assault (Non-domestic),2,2024,7,July
abbeydale,Assault (Non-domestic),1,2024,8,August
abbeydale,Assault (Non-domestic),4,2024,9,September
abbeydale,Assault (Non-domestic),2,2024,11,November
abbeydale,Break & Enter - Commercial,1,2021,3,March
abbeydale,Break & Enter - Commercial,1,2021,4,April
abbeydale,Break & Enter - Commercial,1,2021,5,May
abbeydale,Break & Enter - Commercial,2,2022,4,April
abbeydale,Break & Enter - Commercial,1,2022,6,June
abbeydale,Break & Enter - Commercial,1,2022,10,October
abbeydale,Break & Enter - Commercial,2,2024,3,March
abbeydale,Break & Enter - Commercial,1,2024,4,April
abbeydale,Break & Enter - Commercial,2,2024,5,May
abbeydale,Break & Enter - Dwelling,1,2021,2,February
abbeydale,Break & Enter - Dwelling,3,2021,3,March
abbeydale,Break & Enter - Dwelling,1,2021,8,August
abbeydale,Break & Enter - Dwelling,1,2021,11,November
abbeydale,Break & Enter - Dwelling,1,2022,1,January
abbeydale,Break & Enter - Dwelling,3,2022,3,March
abbeydale,Break & Enter - Dwelling,1,2022,5,May
abbeydale,Break & Enter - Dwelling,2,2022,10,October
abbeydale,Break & Enter - Dwelling,1,2023,3,March
abbeydale,Break & Enter - Dwelling,2,2023,4,April
abbeydale,Break & Enter - Dwelling,1,2023,5,May
abbeydale,Break & Enter - Dwelling,2,2023,11,November
abbeydale,Break & Enter - Dwelling,1,2024,1,January
abbeydale,Break & Enter - Dwelling,1,2024,3,March
abbeydale,Break & Enter - Dwelling,1,2024,4,April
abbeydale,Break & Enter - Dwelling,2,2024,7,July
abbeydale,Break & Enter - Dwelling,1,2024,9,September
abbeydale,Break & Enter - Other Premises,3,2021,1,January
abbeydale,Break & Enter - Other Premises,1,2021,6,June
abbeydale,Break & Enter - Other Premises,2,2021,9,September
abbeydale,Break & Enter - Other Premises,1,2021,12,December
abbeydale,Break & Enter - Other Premises,1,2022,4,April
abbeydale,Break & Enter - Other Premises,2,2022,8,August
abbeydale,Break & Enter - Other Premises,1,2022,9,September
abbeydale,Break & Enter - Other Premises,1,2023,1,January
abbeydale,Break & Enter - Other Premises,1,2023,6,June
abbeydale,Break & Enter - Other Premises,1,2023,8,August
abbeydale,Break & Enter - Other Premises,2,2024,4,April
abbeydale,Break & Enter - Other Premises,1,2024,7,July
abbeydale,Break & Enter - Other Premises,1,2024,9,September
abbeydale,Break & Enter - Other Premises,1,2024,11,November
abbeydale,Commercial Robbery,1,2021,1,January
abbeydale,Commercial Robbery,1,2021,3,March
abbeydale,Commercial Robbery,1,2021,6,June
abbeydale,Commercial Robbery,1,2021,8,August
abbeydale,Commercial Robbery,1,2021,9,September
abbeydale,Commercial Robbery,1,2021,11,November
abbeydale,Commercial Robbery,1,2021,12,December
abbeydale,Commercial Robbery,1,2022,2,February
abbeydale,Commercial Robbery,1,2022,3,March
abbeydale,Commercial Robbery,1,2022,5,May
abbeydale,Commercial Robbery,1,2022,12,December
abbeydale,Commercial Robbery,2,2023,9,September
abbeydale,Commercial Robbery,1,2024,6,June
abbeydale,Commercial Robbery,3,2024,10,October
abbeydale,Street Robbery,1,2021,6,June
abbeydale,Street Robbery,1,2021,10,October
abbeydale,Street Robbery,1,2022,3,March
abbeydale,Street Robbery,2,2022,10,October
abbeydale,Street Robbery,1,2022,11,November
abbeydale,Street Robbery,2,2023,1,January
abbeydale,Street Robbery,1,2023,6,June
abbeydale,Street Robbery,1,2023,8,August
abbeydale,Street Robbery,1,2023,12,December
abbeydale,Street Robbery,1,2024,5,May
abbeydale,Street Robbery,1,2024,9,September
abbeydale,Street Robbery,1,2024,10,October
abbeydale,Theft FROM Vehicle,3,2021,1,January
abbeydale,Theft FROM Vehicle,8,2021,2,February
abbeydale,Theft FROM Vehicle,2,2021,3,March
abbeydale,Theft FROM Vehicle,4,2021,4,April
abbeydale,Theft FROM Vehicle,5,2021,5,May
abbeydale,Theft FROM Vehicle,4,2021,6,June
abbeydale,Theft FROM Vehicle,3,2021,7,July
abbeydale,Theft FROM Vehicle,2,2021,8,August
abbeydale,Theft FROM Vehicle,6,2021,9,September
abbeydale,Theft FROM Vehicle,3,2021,10,October
abbeydale,Theft FROM Vehicle,3,2021,11,November
abbeydale,Theft FROM Vehicle,4,2021,12,December
abbeydale,Theft FROM Vehicle,3,2022,1,January
abbeydale,Theft FROM Vehicle,6,2022,2,February
abbeydale,Theft FROM Vehicle,5,2022,3,March
abbeydale,Theft FROM Vehicle,5,2022,4,April
abbeydale,Theft FROM Vehicle,2,2022,5,May
abbeydale,Theft FROM Vehicle,2,2022,6,June
abbeydale,Theft FROM Vehicle,5,2022,7,July
abbeydale,Theft FROM Vehicle,5,2022,8,August
abbeydale,Theft FROM Vehicle,4,2022,9,September
abbeydale,Theft FROM Vehicle,1,2022,10,October
abbeydale,Theft FROM Vehicle,4,2022,11,November
abbeydale,Theft FROM Vehicle,3,2022,12,December
abbeydale,Theft FROM Vehicle,3,2023,1,January
abbeydale,Theft FROM Vehicle,3,2023,2,February
abbeydale,Theft FROM Vehicle,1,2023,3,March
abbeydale,Theft FROM Vehicle,3,2023,4,April
abbeydale,Theft FROM Vehicle,1,2023,5,May
abbeydale,Theft FROM Vehicle,4,2023,6,June
abbeydale,Theft FROM Vehicle,1,2023,7,July
abbeydale,Theft FROM Vehicle,2,2023,9,September
abbeydale,Theft FROM Vehicle,1,2023,10,October
abbeydale,Theft FROM Vehicle,5,2023,11,November
abbeydale,Theft FROM Vehicle,2,2023,12,December
abbeydale,Theft FROM Vehicle,1,2024,1,January
abbeydale,Theft FROM Vehicle,2,2024,3,March
abbeydale,Theft FROM Vehicle,3,2024,4,April
abbeydale,Theft FROM Vehicle,3,2024,5,May
abbeydale,Theft FROM Vehicle,1,2024,6,June
abbeydale,Theft FROM Vehicle,7,2024,7,July
abbeydale,Theft FROM Vehicle,6,2024,8,August
abbeydale,Theft FROM Vehicle,3,2024,10,October
abbeydale,Theft FROM Vehicle,4,2024,11,November
abbeydale,Theft OF Vehicle,2,2021,2,February
abbeydale,Theft OF Vehicle,3,2021,3,March
abbeydale,Theft OF Vehicle,3,2021,4,April
abbeydale,Theft OF Vehicle,2,2021,5,May
abbeydale,Theft OF Vehicle,2,2021,6,June
abbeydale,Theft OF Vehicle,2,2021,7,July
abbeydale,Theft OF Vehicle,3,2021,8,August
abbeydale,Theft OF Vehicle,2,2021,10,October
abbeydale,Theft OF Vehicle,2,2021,12,December
abbeydale,Theft OF Vehicle,1,2022,1,January
abbeydale,Theft OF Vehicle,1,2022,2,February
abbeydale,Theft OF Vehicle,4,2022,3,March
abbeydale,Theft OF Vehicle,4,2022,4,April
abbeydale,Theft OF Vehicle,1,2022,5,May
abbeydale,Theft OF Vehicle,1,2022,6,June
abbeydale,Theft OF Vehicle,2,2022,7,July
abbeydale,Theft OF Vehicle,2,2022,8,August
abbeydale,Theft OF Vehicle,1,2022,9,September
abbeydale,Theft OF Vehicle,4,2022,10,October
abbeydale,Theft OF Vehicle,1,2022,12,December
abbeydale,Theft OF Vehicle,2,2023,1,January
abbeydale,Theft OF Vehicle,1,2023,4,April
abbeydale,Theft OF Vehicle,3,2023,5,May
abbeydale,Theft OF Vehicle,3,2023,6,June
abbeydale,Theft OF Vehicle,2,2023,8,August
abbeydale,Theft OF Vehicle,1,2023,9,September
abbeydale,Theft OF Vehicle,3,2023,10,October
abbeydale,Theft OF Vehicle,3,2023,11,November
abbeydale,Theft OF Vehicle,3,2023,12,December
abbeydale,Theft OF Vehicle,2,2024,1,January
abbeydale,Theft OF Vehicle,1,2024,2,February
abbeydale,Theft OF Vehicle,1,2024,3,March
abbeydale,Theft OF Vehicle,3,2024,4,April
abbeydale,Theft OF Vehicle,2,2024,5,May
abbeydale,Theft OF Vehicle,2,2024,6,June
abbeydale,Theft OF Vehicle,2,2024,7,July
abbeydale,Theft OF Vehicle,3,2024,8,August
abbeydale,Theft OF Vehicle,1,2024,10,October
abbeydale,Theft OF Vehicle,1,2024,11,November
abbeydale,Violence  'Other' (Non-domestic),1,2021,2,February
abbeydale,Violence  'Other' (Non-domestic),2,2021,3,March
abbeydale,Violence  'Other' (Non-domestic),1,2021,5,May
abbeydale,Violence  'Other' (Non-domestic),1,2021,6,June
abbeydale,Violence  'Other' (Non-domestic),1,2021,7,July
abbeydale,Violence  'Other' (Non-domestic),3,2021,10,October
abbeydale,Violence  'Other' (Non-domestic),1,2022,3,March
abbeydale,Violence  'Other' (Non-domestic),2,2022,6,June
abbeydale,Violence  'Other' (Non-domestic),1,2022,7,July
abbeydale,Violence  'Other' (Non-domestic),2,2022,8,August
abbeydale,Violence  'Other' (Non-domestic),1,2022,9,September
abbeydale,Violence  'Other' (Non-domestic),1,2022,11,November
abbeydale,Violence  'Other' (Non-domestic),1,2023,3,March
abbeydale,Violence  'Other' (Non-domestic),1,2023,6,June
abbeydale,Violence  'Other' (Non-domestic),1,2023,7,July
abbeydale,Violence  'Other' (Non-domestic),1,2023,8,August
abbeydale,Violence  'Other' (Non-domestic),1,2023,10,October
abbeydale,Violence  'Other' (Non-domestic),2,2024,1,January
abbeydale,Violence  'Other' (Non-domestic),1,2024,2,February
abbeydale,Violence  'Other' (Non-domestic),1,2024,4,April
abbeydale,Violence  'Other' (Non-domestic),1,2024,5,May
abbeydale,Violence  'Other' (Non-domestic),2,2024,7,July
abbeydale,Violence  'Other' (Non-domestic),2,2024,9,September
acadia,Assault (Non-domestic),3,2021,1,January
acadia,Assault (Non-domestic),2,2021,3,March
acadia,Assault (Non-domestic),1,2021,4,April
acadia,Assault (Non-domestic),1,2021,5,May
acadia,Assault (Non-domestic),1,2021,6,June
acadia,Assault (Non-domestic),3,2021,8,August
acadia,Assault (Non-domestic),6,2021,9,September
acadia,Assault (Non-domestic),1,2021,10,October
acadia,Assault (Non-domestic),2,2021,11,November
acadia,Assault (Non-domestic),2,2021,12,December
acadia,Assault (Non-domestic),4,2022,1,January
acadia,Assault (Non-domestic),4,2022,2,February
acadia,Assault (Non-domestic),5,2022,3,March
acadia,Assault (Non-domestic),4,2022,5,May
acadia,Assault (Non-domestic),1,2022,7,July
acadia,Assault (Non-domestic),5,2022,8,August
acadia,Assault (Non-domestic),2,2022,9,September
acadia,Assault (Non-domestic),2,2022,10,October
acadia,Assault (Non-domestic),4,2022,11,November
acadia,Assault (Non-domestic),3,2022,12,December
acadia,Assault (Non-domestic),7,2023,1,January
acadia,Assault (Non-domestic),1,2023,2,February
acadia,Assault (Non-domestic),1,2023,3,March
acadia,Assault (Non-domestic),5,2023,4,April
acadia,Assault (Non-domestic),6,2023,5,May
acadia,Assault (Non-domestic),6,2023,6,June
acadia,Assault (Non-domestic),1,2023,7,July
acadia,Assault (Non-domestic),4,2023,8,August
acadia,Assault (Non-domestic),3,2023,9,September
acadia,Assault (Non-domestic),3,2023,10,October
acadia,Assault (Non-domestic),7,2023,11,November
acadia,Assault (Non-domestic),4,2023,12,December
acadia,Assault (Non-domestic),2,2024,1,January
acadia,Assault (Non-domestic),2,2024,2,February
acadia,Assault (Non-domestic),5,2024,3,March
acadia,Assault (Non-domestic),3,2024,4,April
acadia,Assault (Non-domestic),4,2024,5,May
acadia,Assault (Non-domestic),5,2024,6,June
acadia,Assault (Non-domestic),1,2024,7,July
acadia,Assault (Non-domestic),3,2024,8,August
acadia,Assault (Non-domestic),2,2024,9,September
acadia,Assault (Non-domestic),8,2024,10,October
acadia,Assault (Non-domestic),2,2024,11,November
acadia,Break & Enter - Commercial,4,2021,1,January
acadia,Break & Enter - Commercial,1,2021,2,February
acadia,Break & Enter - Commercial,2,2021,4,April
acadia,Break & Enter - Commercial,2,2021,5,May
acadia,Break & Enter - Commercial,1,2021,6,June
acadia,Break & Enter - Commercial,1,2021,7,July
acadia,Break & Enter - Commercial,2,2021,8,August
acadia,Break & Enter - Commercial,1,2021,10,October
acadia,Break & Enter - Commercial,1,2021,11,November
acadia,Break & Enter - Commercial,2,2021,12,December
acadia,Break & Enter - Commercial,1,2022,1,January
acadia,Break & Enter - Commercial,3,2022,2,February
acadia,Break & Enter - Commercial,2,2022,3,March
acadia,Break & Enter - Commercial,3,2022,4,April
acadia,Break & Enter - Commercial,2,2022,6,June
acadia,Break & Enter - Commercial,2,2022,7,July
acadia,Break & Enter - Commercial,1,2022,8,August
acadia,Break & Enter - Commercial,2,2022,9,September
acadia,Break & Enter - Commercial,5,2022,10,October
acadia,Break & Enter - Commercial,1,2022,12,December
acadia,Break & Enter - Commercial,1,2023,1,January
acadia,Break & Enter - Commercial,3,2023,3,March
acadia,Break & Enter - Commercial,2,2023,4,April
acadia,Break & Enter - Commercial,1,2023,5,May
acadia,Break & Enter - Commercial,3,2023,6,June
acadia,Break & Enter - Commercial,3,2023,7,July
acadia,Break & Enter - Commercial,1,2023,8,August
acadia,Break & Enter - Commercial,3,2023,9,September
acadia,Break & Enter - Commercial,1,2023,10,October
acadia,Break & Enter - Commercial,1,2023,12,December
acadia,Break & Enter - Commercial,1,2024,3,March
acadia,Break & Enter - Commercial,4,2024,5,May
acadia,Break & Enter - Commercial,1,2024,6,June
acadia,Break & Enter - Commercial,1,2024,8,August
acadia,Break & Enter - Commercial,2,2024,10,October
acadia,Break & Enter - Commercial,1,2024,11,November
acadia,Break & Enter - Dwelling,1,2021,2,February
acadia,Break & Enter - Dwelling,1,2021,5,May
acadia,Break & Enter - Dwelling,1,2021,6,June
acadia,Break & Enter - Dwelling,1,2021,8,August
acadia,Break & Enter - Dwelling,1,2021,9,September
acadia,Break & Enter - Dwelling,1,2021,11,November
acadia,Break & Enter - Dwelling,2,2022,7,July
acadia,Break & Enter - Dwelling,2,2022,9,September
acadia,Break & Enter - Dwelling,1,2022,12,December
acadia,Break & Enter - Dwelling,1,2023,1,January
acadia,Break & Enter - Dwelling,1,2023,2,February
acadia,Break & Enter - Dwelling,1,2023,3,March
acadia,Break & Enter - Dwelling,1,2023,4,April
acadia,Break & Enter - Dwelling,1,2023,5,May
acadia,Break & Enter - Dwelling,3,2023,7,July
acadia,Break & Enter - Dwelling,1,2023,8,August
acadia,Break & Enter - Dwelling,2,2023,10,October
acadia,Break & Enter - Dwelling,1,2024,1,January
acadia,Break & Enter - Dwelling,1,2024,4,April
acadia,Break & Enter - Dwelling,1,2024,5,May
acadia,Break & Enter - Dwelling,2,2024,6,June
acadia,Break & Enter - Dwelling,2,2024,8,August
acadia,Break & Enter - Dwelling,1,2024,10,October
acadia,Break & Enter - Other Premises,2,2021,1,January
acadia,Break & Enter - Other Premises,1,2021,3,March
acadia,Break & Enter - Other Premises,2,2021,4,April
acadia,Break & Enter - Other Premises,1,2021,6,June
acadia,Break & Enter - Other Premises,3,2021,7,July
acadia,Break & Enter - Other Premises,1,2021,10,October
acadia,Break & Enter - Other Premises,3,2021,11,November
acadia,Break & Enter - Other Premises,4,2021,12,December
acadia,Break & Enter - Other Premises,2,2022,1,January
acadia,Break & Enter - Other Premises,1,2022,2,February
acadia,Break & Enter - Other Premises,3,2022,3,March
acadia,Break & Enter - Other Premises,2,2022,4,April
acadia,Break & Enter - Other Premises,1,2022,5,May
acadia,Break & Enter - Other Premises,2,2022,6,June
