Year,Community,Population
2019,legacy,6420
2019,highland park,3838
2019,cornerstone,2648
2019,montgomery,4515
2019,temple,10977
2019,woodbine,8866
2019,university heights,2921
2019,bankview,5256
2019,albert park/radisson heights,6997
2019,great plains,0
2019,kelvin grove,2305
2019,stoney 2,0
2019,west springs,10758
2019,bayview,751
2019,shaganappi,1626
2019,wildwood,2709
2019,elboya,1754
2019,bridlewood,12641
2019,lake bonavista,10293
2019,sunalta,3239
2019,bowness,11150
2019,garrison woods,3116
2019,aspen woods,9446
2019,richmond,4962
2019,red carpet,1594
2019,somerset,8543
2019,penbrooke meadows,8554
2019,royal vista,0
2019,banff trail,4153
2019,thorncliffe,8788
2019,westwinds,0
2019,deerfoot business centre,0
2019,cougar ridge,6997
2019,whitehorn,12019
2019,woodlands,6002
2019,mckenzie towne,18283
2019,point mckay,1343
2019,marlborough park,8523
2019,shawnessy,9368
2019,auburn bay,17607
2019,belmont,86
2019,east fairview industrial,0
2019,inglewood,4024
2019,abbeydale,5957
2019,university of calgary,2367
2019,diamond cove,690
2019,edgemont,15395
2019,nose hill park,0
2019,arbour lake,10619
2019,midnapore,7270
2019,palliser,3672
2019,collingwood,2249
2019,spruce cliff,4673
2019,mccall,0
2019,taradale,19026
2019,golden triangle,0
2019,bridgeland/riverside,6835
2019,burns industrial,0
2019,killarney/glengarry,7685
2019,hawkwood,9248
2019,highfield,0
2019,greenwood/greenbriar,896
2019,crescent heights,6620
2019,rocky ridge,8398
2019,huntington hills,13420
2019,sherwood,6246
2019,redstone,5848
2019,falconridge,10653
2019,sunnyside,4230
2019,maple ridge,1916
2019,meridian,0
2019,rosemont,1254
2019,strathcona park,6855
2019,southwood,6246
2019,skyview ranch,11707
2019,britannia,690
2019,new brighton,13103
2019,downtown west end,2785
2019,castleridge,6127
2019,canada olympic park,0
2019,east shepard industrial,0
2019,west hillhurst,6447
2019,citadel,10077
2019,saddle ridge industrial,25
2019,dover,10351
2019,scarboro,931
2019,rosscarrock,3625
2019,saddle ridge,22321
2019,erin woods,7049
2019,cedarbrae,6094
2019,currie barracks,1262
2019,greenview industrial park,225
2019,willow park,5328
2019,lakeview,5355
2019,sandstone valley,5904
2019,eau claire,2030
2019,elbow park,3342
2019,varsity,12874
2019,ogden shops,0
2019,ramsay,2158
2019,renfrew,6582
2019,downtown east village,3893
2019,marlborough,9162
2019,crestmont,1690
2019,rosedale,1560
2019,oakridge,5690
2019,silverado,7655
2019,valley ridge,5585
2019,glenbrook,7442
2019,foothills,317
2019,north haven,2359
2019,glendeer business park,0
2019,walden,6228
2019,hillhurst,6558
2019,ranchlands,7607
2019,tuscany,19884
2019,manchester industrial,0
2019,valleyfield,0
2019,canyon meadows,7624
2019,signal hill,13395
2019,fairview industrial,0
2019,deer run,5065
2019,hamptons,7382
2019,country hills,3767
2019,brentwood,7267
2019,chinook park,1662
2019,altadore,6942
2019,ogden,8576
2019,fairview,3646
2019,copperfield,13823
2019,st. andrews heights,1795
2019,upper mount royal,2478
2019,garrison green,2060
2019,queens park village,455
2019,mount pleasant,5889
2019,parkland,3660
2019,parkdale,2566
2019,lincoln park,2617
2019,shawnee slopes,1911
2019,north glenmore park,2391
2019,eastfield,0
2019,yorkville,14
2019,pineridge,10022
2019,mission,4598
2019,acadia,10520
2019,greenview,1906
2019,pine creek,14
2019,mayland,0
2019,chaparral,12654
2019,winston heights/mountview,3635
2019,wolf willow,0
2019,kincora,6889
2019,beltline,25129
2019,macewan glen,4754
2019,shepard industrial,255
2019,parkhill,1691
2019,cambrian heights,2036
2019,forest heights,6496
2019,cityscape,3104
2019,eagle ridge,302
2019,southview,1805
2019,country hills village,2597
2019,stoney 1,0
2019,mckenzie lake,13406
2019,christie park,2128
2019,forest lawn industrial,123
2019,mayland heights,5961
2019,millrise,6900
2019,scarboro/ sunalta west,401
2019,livingston,1477
2019,queensland,4743
2019,starfield,0
2019,dalhousie,8940
2019,lower mount royal,3457
2019,roxboro,422
2019,university district,705
2019,rutland park,2263
2019,horizon,0
2019,calgary international airport,0
2019,haskayne,0
2019,cranston,19884
2019,seton,1134
2019,mahogany,11784
2019,rangeview,0
2019,sundance,9736
2019,fish creek park,0
2019,north haven upper,599
2019,coach hill,3244
2019,windsor park,4584
2019,scenic acres,8067
2019,rundle,11688
2019,south airways,0
2019,pegasus,0
2019,douglasdale/glen,12881
2019,meadowlark park,644
2019,skyline west,0
2019,chinatown,2471
2019,westgate,3202
2019,glendale,2765
2019,kingsland,4688
2019,silver springs,8679
2019,hotchkiss,0
2019,homestead,0
2019,patterson,4202
2019,sage hill,7924
2019,nolan hill,7505
2019,evanston,17685
2019,carrington,572
2019,section 23,0
2019,forest lawn,7814
2019,deer ridge,3973
2019,medicine hill,0
2019,haysboro,7080
2019,erlton,1270
2019,harvest hills,7420
2019,alyth/bonnybrook,0
2019,bonavista downs,928
2019,martindale,14245
2019,vista heights,2370
2019,south foothills,0
2019,downtown commercial core,8683
2019,stoney 3,0
2019,braeside,5805
2019,manchester,1025
2019,highwood,2258
2019,discovery ridge,4280
2019,hounsfield heights/briar hill,2798
2019,glamorgan,6522
2019,applewood park,6981
2019,belvedere,41
2019,keystone hills,0
2019,coventry hills,17667
