Ward,Crime Count,Population,Crime Rate,Estimated Mean Income
1.0,4413,788714,5.59518405911395,122484.73
2.0,3019,808696,3.733170437346048,125593.48
3.0,3211,722237,4.445909029861389,117574.23
4.0,7704,795562,9.683720439136108,101800.18
5.0,9238,848793,10.88369013410808,96028.92
6.0,4159,874117,4.757944302650561,118715.29
7.0,15484,748471,20.68750826685336,97385.67
8.0,13170,848542,15.52074028156532,105905.3
9.0,16047,774402,20.721795656519483,86731.65
10.0,13160,823604,15.978552799646433,101744.58
11.0,9043,934095,9.681028160947227,106499.65
12.0,4582,850313,5.388603961129608,108832.46
13.0,3685,808157,4.5597575718579435,108758.98
14.0,3071,754436,4.070590480836015,113770.84
